PRODUCT NAME ,ITEM CODE,CATEGORY,SUBCATEGORY,BRAND ,HS CODE,MODEL SERIES ,MDR ,COLOR/TAGS,PACK NAME ,PCS PER PACK ,,
ALBUMIN 1X100ML ,BIO 4,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
ALBUMIN KIT 2X100 ML  ,BIO 5,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
ALKALINE 90+10 ML ,BIO 6,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
ASO 100 TEST ,BIO 7,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
BILIRUBIN 2X100 ML T&D ,BIO 8,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
CHOLESTEROL 5X100 ML ,BIO 9,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
CHOLESTROL 10 X 100 ,BIO 10,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
CREATININE 20100 ML ,BIO 11,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
CRP KIT 100 TEST ,BIO 12,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
GLUCOSE KIT 4X250 ML ,BIO 13,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
RA FACTOR 100 TEST ,BIO 14,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
SGOT 80+20 ML ,BIO 15,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
SGPT 80+20 ML ,BIO 16,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
TOTAL PROTEIN KIT 2X100 ML,BIO 17,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
